id;category;difficulty;question;correct;wrong1;wrong2;wrong3;wrong4;wrong5;wrong6;wrong7;wrong8;wrong9;wrong10;wrong11;explanation
q1;Objets;hard;Quel est le fabricant de la première baguette de Fleur Delacour ?;Cosme Acajou;Ollivander;Gregorovitch;Jimmy Kiddell;Mykew Gregorovitch;Arturo Cephalopos;Violetta Beauvais;Johannes Jonker;Thiago Quintana;Isolt Sayre;Salazar S.;Nicolas Flamel;Sa baguette contient un cheveu de sa grand-mère Vélane.
q2;Histoire;hard;Quel était le nom de la mère de Tom Jedusor ?;Merope Gaunt;Morfin Gaunt;Hesper Gamp;Walburga Black;Cassiopeia Gaunt;Araminta Meliflua;Elladora Black;Druella Rosier;Vinda Rosier;Honoria Nutcombe;Irma Pince;Petunia Evans;Elle est une descendante directe de Salazar Serpentard.
q3;Sortilèges;hard;Quel sort Hermione utilise-t-elle pour graver une croix sur les arbres ?;Flagrate;Diffindo;Incendio;Specialis Revelio;Alohomora;Avis;Orchideous;Evanesco;Tergeo;Scustifors;Relashio;Duro;Flagrate permet de créer des marques de feu sur une surface.
q4;Créatures;hard;Comment s'appelle le chef des Centaures dans la Forêt Interdite ?;Magorian;Firenze;Bane;Ronan;Grawp;Aragog;Mosag;Graup;Fluffy;Norbert;Fang;Buck;Magorian mène les centaures lors de la bataille finale.
q5;Botanique;hard;Quelle plante soigne les victimes pétrifiées par le Basilic ?;Mandragore;Mimbulus Mimbletonia;Cri de racines;Bubobulb;Filet du Diable;Voltiflor;Tentacula;Snargalouf;Géranium;Aconit;Dictame;Moly;Le philtre de Mandragore restauratrice est préparé par Chourave.
q6;Lieux;hard;Quel est le numéro de la chambre de Harry au Chaudron Baveur (tome 3) ?;11;1;7;9;10;12;13;21;24;42;101;99;Il y séjourne après avoir fui la maison des Dursley.
q7;Quidditch;hard;Quel pays remporte la Coupe du Monde de Quidditch en 1994 ?;Irlande;Bulgarie;Pérou;Angleterre;Écosse;France;Luxembourg;Ouganda;Transylvanie;Norvège;Allemagne;Espagne;L'Irlande gagne le match, bien que Krum attrape le Vif d'Or.
q8;Familles;hard;Quel Dumbledore a été envoyé à Azkaban pour avoir attaqué des Moldus ?;Percival;Abelforth;Aurelius;Albus;Kendra;Ariana;Honoria;Percival Junior;Brian;Wulfric;Desmond;Aberforth;Percival Dumbledore y est mort après avoir défendu sa fille.
q9;Fantômes;hard;De quelle maison est le Moine Gras le fantôme ?;Poufsouffle;Gryffondor;Serdaigle;Serpentard;Beauxbâtons;Durmstrang;Ilvermorny;Castelobruxo;Uagadou;Mahoutokoro;Koldovstoretz;Salem;Le Moine Gras est le fantôme accueillant des Poufsouffle.
q10;Potions;hard;Quel ingrédient manque à Harry pour sa potion de 'Brouet de Paix' ?;Sirop d'hellébore;Pierre de lune;Épines de porc-épic;Poudre de licorne;Foie de dragon;Sang de salamandre;Bile de tatou;Plumes d'oiseau-tonnerre;Crins de sombral;Yeux de scarabée;Sirop de cerise;Ortie séchée;Harry oublie l'hellébore et sa potion s'évapore en fumée.
q11;Sortilèges;hard;Quel est le premier nom de famille de la Dame Grise ?;Helena Serdaigle;Rowena Serdaigle;Grey;Pansy;Theodora;Beatrix;Morgane;Walburga;Hestia;Flora;Hélène;Alice;Helena est la fille de la cofondatrice Rowena Serdaigle.
q12;Objets;hard;Quel objet appartient à Hepzibah Smith avant d'être volé par Jedusor ?;La coupe de Poufsouffle;Le diadème;L'épée;La bague;Le miroir;Le médaillon de Gryffondor;La tiare;Le sceptre;La dague;Le calice;Le cristal;Le grimoire;Elle prétendait être la descendante d'Helga Poufsouffle.
q13;Lieux;hard;Où se trouve l'entrée de la salle commune des Poufsouffle ?;Derrière des tonneaux;Près des cuisines;Derrière un portrait;Sous une trappe;Dans un couloir sombre;Derrière une armure;Près de la volière;Sous un escalier;Près des cachots;Dans la tour;Près du lac;Dans la cave;Il faut frapper le rythme 'Helga Poufsouffle' sur le bon tonneau.
q14;Ministère;hard;Quel est le département où travaillent les Langues-de-Plomb ?;Département des Mystères;Bureau des Aurors;Commission des Sorts;Services Détournés;Justice Magique;Accidents et Catastrophes;Transports Magiques;Jeux et Sports;Coopération Internationale;Régulation des Créatures;Bureau des Obliviators;Maintenance;Les employés du Département des Mystères sont tenus au secret absolu.
q15;Créatures;hard;Quel est le nom du vieux Hibou de la famille Weasley ?;Errol;Hermès;Fleury;Poussiéra;Pigwidgeon;Coquecigrue;Arnold;Norbert;Croûtard;Hermione;Hedwige;Fidèle;Errol est si vieux qu'il s'évanouit souvent après ses livraisons.
q16;Histoire;hard;Quel est le nom du moldu que Voldemort tue en premier à son retour ?;Frank Bryce;Tom Jedusor Senior;Bryce Junior;Robert;Samuel;John;Mark;Ted;William;David;Arthur;George;Frank Bryce était le jardinier âgé de la maison des Jedusor.
q17;Sortilèges;hard;Quel sort est utilisé par Lockhart pour tenter de soigner le bras de Harry ?;Brackium Emendo;Anapneo;Episkey;Ferula;Vulnera Sanentur;Enervatum;Aguamenti;Diffindo;Reducto;Bombarda;Stupefix;Expulso;Il finit par supprimer accidentellement tous les os du bras de Harry.
